,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
1425,de Anjen,Leeuwarden,Room,335,10,Unfurnished,01-04-'22 - Indefinite period  27 Feb,53.213993,5.787314,included,https://kamernet.nl/en/for-rent/room-leeuwarden/de-anjen/room-2026264,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.787314 53.213993)
1426,Willem de Zwijgerlaan,Amsterdam,Room,670,8,Furnished,01-05-'22 - 27-08-'22  New!,52.382168,4.857293,included,https://kamernet.nl/en/for-rent/room-amsterdam/willem-de-zwijgerlaan/room-2034927,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.857293 52.382168)
1427,Amerbos,Amsterdam,Room,750,16,Unfurnished,01-05-'22 - 01-05-'27  New!,52.402646,4.944392,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/amerbos/room-2034950,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.944392 52.402646)
1428,Amerbos,Amsterdam,Room,800,17,Unfurnished,01-05-'22 - 01-05-'27  New!,52.402646,4.944392,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/amerbos/room-2034952,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.944392 52.402646)
1429,Amerbos,Amsterdam,Room,750,16,Unfurnished,01-05-'22 - 01-05-'27  New!,52.402646,4.944392,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/amerbos/room-2034954,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.944392 52.402646)
1430,Amerbos,Amsterdam,Room,650,10,Unfurnished,01-05-'22 - 01-05-'27  New!,52.402646,4.944392,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/amerbos/room-2034955,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (4.944392 52.402646)
1431,Kloveniersburgwal,Amsterdam,Room,1200,15,Furnished,01-05-'22 - Indefinite period  New!,52.37132,4.89859,included,https://kamernet.nl/en/for-rent/room-amsterdam/kloveniersburgwal/room-2034961,Shared,Shared,Shared,Shared,Unknown,Unknown,1,1,POINT (4.89859 52.37132)
1432,Jisperveldstraat,Amsterdam,Room,750,10,Furnished,31-08-'22 - Indefinite period  11 feb '21,52.39826,4.950378,included,https://kamernet.nl/en/for-rent/room-amsterdam/jisperveldstraat/room-1909443,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.950378 52.39826)
1433,Badhuiskade,Amsterdam,Room,950,20,Furnished,01-12-'21 - 28-02-'22  15 jan '21,52.38523,4.905705,included,https://kamernet.nl/en/for-rent/room-amsterdam/badhuiskade/room-1899434,Shared,Shared,Shared,Shared,Yes,Unknown,Unknown,1,POINT (4.905705 52.38523)
1434,Valkhof,Amsterdam,Room,960,12,Furnished,01-08-'22 - Indefinite period  15 jan '21,52.330938,4.869969,included,https://kamernet.nl/en/for-rent/room-amsterdam/valkhof/room-1899247,Shared,Shared,Shared,Shared,Yes,C,2,1,POINT (4.869969 52.330938)
1435,Werengouw,Amsterdam,Room,950,15,Furnished,30-06-'22 - Indefinite period  03 jan '21,52.394303,4.946716,included,https://kamernet.nl/en/for-rent/room-amsterdam/werengouw/room-1893449,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.946716 52.394303)
